Title,First air date,End date,Rating,Genres,Status,Network or Channel,Summary,Tvmaze Link
Payback,2023-10-04,2023-10-04,7.5,"Crime, Thriller",To Be Determined,ITVX,"With an idyllic family lifestyle in the suburbs of Edinburgh, Lexie is unaware her husband, Jared, has been laundering Cal Morris' illegal earnings on a vast scale. Jared's every move is being monitored by financial investigators DC Jibran Khan and DCI Adam Guthrie, who are determined to use the Noble family to bring Cal Morris to justice. A partner in Jared's business, Lexie is forced into working for Cal, at the same time as the police net inexorably tightens. Soon Lexie finds herself walking a treacherous tightrope between Cal and the police in which her safety, and even her life, are in grave danger.",https://www.tvmaze.com/shows/70213/payback
Mortimer and Whitehouse: Gone Fishing,2018-06-20,2025-10-26,8,"Comedy, Sports",Running,BBC Two,"Lifelong friends Paul Whitehouse and Bob Mortimer have more in common than just their love of comedy – they have both recently suffered from heart disease and directly faced their own mortality.This series follows them as they re-connect with each other and share their personal and often hilarious experiences of life while testing the parameters of true friendship … on a soggy riverbank.Experienced angler Paul takes Bob to some of the most tranquil and naturally beautiful places in the UK to try to teach him the peaceful art of fishing, while Bob reveals his new found culinary skills by cooking health conscious meals for Paul.",https://www.tvmaze.com/shows/37076/mortimer-and-whitehouse-gone-fishing
Joshi Ochi!: 2-kai kara Onna no Ko ga... Futte kita!?,2018-07-01,2018-08-26,5.2,"Adult, Anime, Comedy",Ended,ComicFesta,"The ceiling collapsed and a girl fell through from the second floor!?Sousuke lives in a rundown apartment building where his only consolation is that the landlord is a beautiful woman and the girl who lives above him is cute. One day though, the ceiling above him creaks and... Bang! In from the second floor, directly above him, the cute girl comes crashing down on him…!?In an erotic encounter that can only be classified as a miracle, hearts and bodies are connected by chance. Then for some reason, he starts to live with both of these beautiful women!? Under this one roof, just what exactly will become of this crowded love triangle...!?",https://www.tvmaze.com/shows/37277/joshi-ochi-2-kai-kara-onna-no-ko-ga-futte-kita
Echo 3,2022-11-23,2023-01-13,5.9,"Action, Thriller",To Be Determined,Apple TV,"Echo 3 follows Amber Chesborough, a brilliant young scientist who is the emotional heart of a small American family. When Amber goes missing along the Colombia-Venezuela border, her brother, Bambi, and her husband, Prince - two men with deep military experience and complicated pasts - struggle to find her in a layered personal drama, set against the explosive backdrop of a secret war.",https://www.tvmaze.com/shows/49234/echo-3
Super Pumped,2022-02-27,2022-04-10,5.2,Drama,Running,Paramount+ with Showtime,"The Battle For Uber tells the story of one of Silicon Valley's most successful and most destructive unicorns, Uber. The season pivots on Travis Kalanick, Uber's hard-charging CEO who was ultimately ousted in a boardroom coup, and his sometimes tumultuous relationship with his mentor Bill Gurley, the plainspoken, brilliant Texan venture capitalist who bets his sterling reputation on Uber's success - and then has to live with the consequences.",https://www.tvmaze.com/shows/55543/super-pumped
Family Guy Hulu Exclusives,2024-10-14,2025-10-06,7.3,,Running,Hulu,A series of exclusive 'Family Guy' specials that air only on Hulu.,https://www.tvmaze.com/shows/80348/family-guy-hulu-exclusives
grown-ish,2018-01-03,2024-05-22,4.8,Comedy,Ended,Freeform,"grown-ish follows the Johnson's eldest daughter Zoey as she heads off to college and quickly discovers that not everything goes her way once she leaves the nest. The series is a contemporary take on the current issues facing both students and administrators in the world of higher education. Zoey and Charlie, an adjunct marketing professor, will be joined by new characters both in the administration and student body who reflect the complex and hilarious points of view that populate college campuses.",https://www.tvmaze.com/shows/28366/grown-ish
Watchmen,2019-10-20,2019-12-15,7.1,"Action, Drama, Science-Fiction",Ended,HBO,"Based on the DC Comic graphic novel, Watchmen is an alternative history series following a group of costumed crimefighters investigating the murder of one of their own.",https://www.tvmaze.com/shows/29575/watchmen
Marvel's Agents of S.H.I.E.L.D.: Slingshot,2016-12-13,2016-12-13,7.1,"Action, Science-Fiction",Ended,ABC.com,"Marvel's Agents of S.H.I.E.L.D.: Slingshot is set in the world of the hit television series Marvel's Agents of S.H.I.E.L.D. Taking place shortly before the beginning of Season 4, this digital series features the character of Elena ""Yo-Yo"" Rodriguez, an Inhuman with the ability to move with super-speed. As a person with powers, she must sign the recently instituted Sokovia Accords, the worldwide agreement that regulates and tracks those with super powers. However, the restrictions of the Accords are in direct conflict with a personal mission she's desperate to fulfill, a mission that will test her abilities, her allegiances, and will include some tense encounters with our most popular S.H.I.E.L.D. team members.",https://www.tvmaze.com/shows/23460/marvels-agents-of-shield-slingshot
VisionQuest,,,,"Action, Science-Fiction",In Development,Disney+,,https://www.tvmaze.com/shows/64950/visionquest
The Mysteries of Laura,2014-09-17,2016-03-02,7.3,"Comedy, Crime",Ended,NBC,"Laura Diamond is a brilliant NYPD homicide detective who balances her ""Columbo"" day job with a crazy family life that includes two unruly twin boys and a soon-to-be ex-husband - also a cop - who just can't seem to sign the divorce papers. Between cleaning up after her boys and cleaning up the streets, she'd be the first to admit she has her ""hot mess"" moments in this hilariously authentic look at what it really means to be a working mom today. Somehow, she makes it all work with the help of her sexy and understanding partner, and things becomes even more complicated when her husband becomes her boss at the precinct. For Laura, every day is a high-wire balancing act.",https://www.tvmaze.com/shows/78/the-mysteries-of-laura
Steven Universe,2013-05-21,2019-09-02,8.1,"Action, Adventure, Science-Fiction",Ended,Cartoon Network,"Steven Universe, from Adventure Time writer-artist Rebecca Sugar, is a coming-of-age story told from the perspective of Steven, the youngest member of a team of magical Guardians of the Universe.",https://www.tvmaze.com/shows/1615/steven-universe
